theme,series,name,unit,source,definition,primary,secondary,tertiary
Health,WASTFEIN,"Malnutrition prevalence, weight for height, wasting, female",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,Malnutrition prevalence,"wasting, weight for height",female
Health,WASTMAIN,"Malnutrition prevalence, weight for height, wasting, male",%,"Compiled by World Bank; Data from WHO, Global Database on Child Growth and Malnutrition",Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,Malnutrition prevalence,"wasting, weight for height",male
Health,CONTFEHQ,"Contraceptive prevalence, female, highest income quintile",%,DHS Household Surveys,"Current use of contraception among currently married women, any method by household wealth index",Contraceptive prevalence,highest income quintile,female
Health,CONTFELQ,"Contraceptive prevalence, female, lowest income quintile",%,DHS Household Surveys,"Current use of contraception among currently married women, any method by household wealth index",Contraceptive prevalence,lowest income quintile,female
Health,CONTFENE,"Contraceptive prevalence, female, no education",%,DHS Household Surveys,"Current use of contraception among currently married women, any method by highest education level of respondent",Contraceptive prevalence,no education,female
Health,CONTFEPE,"Contraceptive prevalence, female, primary education",%,DHS Household Surveys,"Current use of contraception among currently married women, any method by highest education level of respondent",Contraceptive prevalence,primary education,female
Health,CONTFESE,"Contraceptive prevalence, female, secondary or higher",%,DHS Household Surveys,"Current use of contraception among currently married women, any method by highest education level of respondent",Contraceptive prevalence,secondary or higher,female
Health,TOFERTHQ,"Fertility rate, female, highest income quintile",Number Of Children,DHS Household Surveys,"Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates, by household wealth index",Fertility rate,highest income quintile,female
Health,TOFERTLQ,"Fertility rate, female, lowest income quintile",Number Of Children,DHS Household Surveys,"Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates, by household wealth index",Fertility rate,lowest income quintile,female
Health,KNCOFEHQ,"Knowledge of contraceptive methods, female, highest income quintile",%,DHS Household Surveys,"Knowledge of contraceptive methods, any method, by household wealth index",Knowledge of contraceptive methods,highest income quintile,female
Health,KNCOFELQ,"Knowledge of contraceptive methods, female, lowest income quintile",%,DHS Household Surveys,"Knowledge of contraceptive methods, any method, by household wealth index",Knowledge of contraceptive methods,lowest income quintile,female
Health,HIVPRENE,"Knowledge of HIV prevention methods, female, no education",%,DHS Household Surveys,"The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by highest educational level of respondent",Knowledge of HIV prevention methods,no education,female
Health,HIVPREPE,"Knowledge of HIV prevention methods, female, primary education",%,DHS Household Surveys,"The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by highest educational level of respondent",Knowledge of HIV prevention methods,primary education,female
Health,HIVPRESE,"Knowledge of HIV prevention methods, female, secondary or higher",%,DHS Household Surveys,"The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by highest educational level of respondent",Knowledge of HIV prevention methods,secondary or higher,female
Health,HIVPRERU,"Knowledge of HIV prevention methods, rural",%,DHS Household Surveys,"The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by urban / rural breakdown",Knowledge of HIV prevention methods,rural,
Health,HIVPREUR,"Knowledge of HIV prevention methods, urban",%,DHS Household Surveys,"The percent of respondents who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner, by urban / rural breakdown",Knowledge of HIV prevention methods,urban,
Health,UNCOFEHQ,"Unmet need for contraception, female, highest income quintile",%,DHS Household Surveys,"Unmet need for contraception is the percentage of fertile, married women of reproductive age who do not want to become pregnant and are not using contraception, by household wealth index",Unmet need for contraception,highest income quintile,female
Health,UNCOFELQ,"Unmet need for contraception, female, lowest income quintile",%,DHS Household Surveys,"Unmet need for contraception is the percentage of fertile, married women of reproductive age who do not want to become pregnant and are not using contraception, by household wealth index",Unmet need for contraception,lowest income quintile,female
Health,HEPAFEFC,"Women's participation in decision-making of own healthcare, employed for cash",%,DHS Household Surveys,"A measue of women's agency: women's autonomy in household decision making, final say in own health care by employment status",Women's participation in decision-making of own healthcare,employed for cash,
Health,HEPAFENC,"Women's participation in decision-making of own healthcare, employed not for cash",%,DHS Household Surveys,A measue of women's agency: women's autonomy in household decision making: final say in own health care by employment status,Women's participation in decision-making of own healthcare,employed not for cash,
Health,HEPAFEHQ,"Women's participation in decision-making of own healthcare, highest income quintile",%,DHS Household Surveys,A measue of women's agency: women's autonomy in household decision making: final say in own health care by household wealth index,Women's participation in decision-making of own healthcare,highest income quintile,
Health,HEPAFELQ,"Women's participation in decision-making of own healthcare, lowest income quintile",%,DHS Household Surveys,A measue of women's agency: women's autonomy in household decision making: final say in own health care by household wealth index,Women's participation in decision-making of own healthcare,lowest income quintile,
Health,HEPAFENE,"Women's participation in decision-making of own healthcare, not employed",%,DHS Household Surveys,A measue of women's agency: women's autonomy in household decision making: final say in own health care by employment status,Women's participation in decision-making of own healthcare,not employed,
Health,CHCDFEIN,"Child deaths from diarrhea, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death",Child deaths from diarrhea,,female
Health,CHCDMAIN,"Child deaths from diarrhea, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death",Child deaths from diarrhea,,male
Health,MTRALZFE,"DALYs per 100,000, Alzheimer's and dementia, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Alzheimer's and dementia,female
Health,MTRALZMA,"DALYs per 100,000, Alzheimer's and dementia, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Alzheimer's and dementia,male
Health,MTRCBVFE,"DALYs per 100,000, Cerebrovascular disease, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Cerebrovascular disease,female
Health,MTRCBVMA,"DALYs per 100,000, Cerebrovascular disease, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Cerebrovascular disease,male
Health,MTRCDSFE,"DALYs per 100,000, Communicable, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Communicable,female
Health,MTRCDSMA,"DALYs per 100,000, Communicable, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Communicable,male
Health,DAPDFEIN,"DALYs per 100,000, COPD, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",COPD,female
Health,DAPDMAIN,"DALYs per 100,000, COPD, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",COPD,male
Health,DADDFEIN,"DALYs per 100,000, Diarrheal diseases, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Diarrheal diseases,female
Health,DADDMAIN,"DALYs per 100,000, Diarrheal diseases, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Diarrheal diseases,male
Health,MTRHIVFE,"DALYs per 100,000, HIV/AIDS, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",HIV/AIDS,female
Health,MTRHIVMA,"DALYs per 100,000, HIV/AIDS, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",HIV/AIDS,male
Health,MTRIJSFE,"DALYs per 100,000, Injuries, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Injuries,female
Health,MTRIJSMA,"DALYs per 100,000, Injuries, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Injuries,male
Health,MTRIHDFE,"DALYs per 100,000, Ischemic heart disease, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Ischemic heart disease,female
Health,MTRIHDMA,"DALYs per 100,000, Ischemic heart disease, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Ischemic heart disease,male
Health,DANPFEIN,"DALYs per 100,000, Low back & neck pain, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Low back & neck pain,female
Health,DANPMAIN,"DALYs per 100,000, Low back & neck pain, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Low back & neck pain,male
Health,MTRLRDFE,"DALYs per 100,000, Lower respiratory, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Lower respiratory,female
Health,MTRLRDMA,"DALYs per 100,000, Lower respiratory, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Lower respiratory,male
Health,DAMD10FE,"DALYs per 100,000, Major depressive disorder, ages 10-14, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000","Major depressive disorder, ages 10-14",female
Health,DAMD10MA,"DALYs per 100,000, Major depressive disorder, ages 10-14, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000","Major depressive disorder, ages 10-14",male
Health,DAMD15FE,"DALYs per 100,000, Major depressive disorder, ages 15-19, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000","Major depressive disorder, ages 15-19",female
Health,DAMD15MA,"DALYs per 100,000, Major depressive disorder, ages 15-19, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000","Major depressive disorder, ages 15-19",male
Health,MTRMLRFE,"DALYs per 100,000, Malaria, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Malaria,female
Health,MTRMLRMA,"DALYs per 100,000, Malaria, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Malaria,male
Health,MTRNCDFE,"DALYs per 100,000, Noncommunicable, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Noncommunicable,female
Health,MTRNCDMA,"DALYs per 100,000, Noncommunicable, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Noncommunicable,male
Health,MTRPBCFE,"DALYs per 100,000, Preterm birth conditions, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Preterm birth conditions,female
Health,MTRPBCMA,"DALYs per 100,000, Preterm birth conditions, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Preterm birth conditions,male
Health,DAMAFEIN,"DALYs per 100,000, Protein-energy malnutrition, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Protein-energy malnutrition,female
Health,DAMAMAIN,"DALYs per 100,000, Protein-energy malnutrition, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Protein-energy malnutrition,male
Health,MTRALLFE,"DALYs per 100,000, total, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Total,female
Health,MTRALLMA,"DALYs per 100,000, total, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Total,male
Health,DAUDFEIN,"DALYs per 100,000, Unipolar depressive disorder, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Unipolar depressive disorder,female
Health,DAUDMAIN,"DALYs per 100,000, Unipolar depressive disorder, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death","DALYs per 100,000",Unipolar depressive disorder,male
Health,DEBCFEIN,"Deaths per 100,000, Breast cancer, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Breast cancer,female
Health,DECBFEIN,"Deaths per 100,000, Cerebrovascular disease, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Cerebrovascular disease,female
Health,DECBMAIN,"Deaths per 100,000, Cerebrovascular disease, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Cerebrovascular disease,male
Health,DECOFEIN,"Deaths per 100,000, communicative, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Communicable,female
Health,DECOMAIN,"Deaths per 100,000, communicative, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Communicable,male
Health,DEPDFEIN,"Deaths per 100,000, COPD, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",COPD,female
Health,DEPDMAIN,"Deaths per 100,000, COPD, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",COPD,male
Health,DEDMFEIN,"Deaths per 100,000, Diabetes mellitus, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Diabetes mellitus,female
Health,DEDMMAIN,"Deaths per 100,000, Diabetes mellitus, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Diabetes mellitus,male
Health,DEDDFEIN,"Deaths per 100,000, Diarrheal diseases, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Diarrheal diseases,female
Health,DEDDMAIN,"Deaths per 100,000, Diarrheal diseases, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Diarrheal diseases,male
Health,DEHI10FE,"Deaths per 100,000, HIV AIDS, ages 10-14, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","HIV AIDS, ages 10-14",female
Health,DEHI10MA,"Deaths per 100,000, HIV AIDS, ages 10-14, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","HIV AIDS, ages 10-14",male
Health,DEHAFEIN,"Deaths per 100,000, HIV/AIDS, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",HIV/AIDS,female
Health,DEHAMAIN,"Deaths per 100,000, HIV/AIDS, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",HIV/AIDS,male
Health,DEIJFEIN,"Deaths per 100,000, injuries, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Injuries,female
Health,DEIJMAIN,"Deaths per 100,000, injuries, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Injuries,male
Health,DEHDFEIN,"Deaths per 100,000, Ischemic heart disease, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Ischemic heart disease,female
Health,DEHDMAIN,"Deaths per 100,000, Ischemic heart disease, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Ischemic heart disease,male
Health,DELRFEIN,"Deaths per 100,000, Lower respiratory infections, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Lower respiratory infections,female
Health,DELRMAIN,"Deaths per 100,000, Lower respiratory infections, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Lower respiratory infections,male
Health,DEMLFEIN,"Deaths per 100,000, Malaria, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Malaria,female
Health,DEMLMAIN,"Deaths per 100,000, Malaria, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Malaria,male
Health,DEMD15FE,"Deaths per 100,000, maternal disorders, ages 15-19, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","Maternal disorders, ages 15-19",female
Health,DENCFEIN,"Deaths per 100,000, noncommunicative, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Noncommunicable,female
Health,DENCMAIN,"Deaths per 100,000, noncommunicative, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Noncommunicable,male
Health,DEMAFEIN,"Deaths per 100,000, Protein-energy malnutrition, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Protein-energy malnutrition,female
Health,DEMAMAIN,"Deaths per 100,000, Protein-energy malnutrition, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Protein-energy malnutrition,male
Health,DERI15FE,"Deaths per 100,000, Road injuries, ages 15-19, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","Road injuries, ages 15-19",female
Health,DERI15MA,"Deaths per 100,000, Road injuries, ages 15-19, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","Road injuries, ages 15-19",male
Health,DESH15FE,"Deaths per 100,000, Self-harm, ages 15-19, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","Self-harm, ages 15-19",female
Health,DESH15MA,"Deaths per 100,000, Self-harm, ages 15-19, male","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000","Self-harm, ages 15-19",male
Health,DETOFEIN,"Deaths per 100,000, total, female","DALYs per 100,000",Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),"The mean number of deaths per 100,000 attributable to cause of disease or death","Deaths per 100,000",Total,female
