ISO,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
NGA,15.5,31.5,37.8,38.8,32.2,49.8,37.8,46,51.5,56.4,34.1
NOR,0.5,0.5,0.5,0.5,2,0.8,1.5,0,0,-10,6.5
OMN,,57.8,,,,,32.7,29.5,40.3,0,41.5
PAK,44.7,39,61.8,60.8,70.3,64.8,54.9,65.7,56.2,75,51.3
PAN,15.5,9.8,14.5,15,9.5,17.9,11.8,14.5,21.8,76,33
PNG,,,,,,,,14.7,13.3,9,23
PRY,8.5,7.2,10.5,15.5,18.3,26.1,20.5,14.3,16.3,29,28.8
PER,9.5,10.3,40,33.3,28.3,37.4,26.3,20.9,30,51.3,31.9
PHL,29,35.3,36.6,50,51,44.8,45,38.3,60,64.5,43.1
POL,7.8,6.2,6.8,12.5,14,18.5,9,9.5,8.9,-0.7,13.1
PRT,1.5,5.2,4.5,4.8,3,2,4,8,12.4,5.3,16.8
QAT,,35,32.5,23,18,24,15.5,24,38,46,32.9
KOR,,,,,,,,,13.3,12.7,24.5
MDA,,27,20.5,17.5,19.2,24.8,21.4,33.8,19.1,16,26
ROU,13.3,11.5,17.8,16.2,14,12.8,9,12.5,16,14,23.1
RUS,48,49.5,51.4,48.7,52.5,56.9,47.5,60.9,49.9,66,43.4
RWA,37.5,34.3,37.3,38,41,58.9,50,64.7,81,81,55.5
WSM,,,,,,,,,33,17,23.8
SAU,62.5,71.5,79.2,66,76,59.8,61.8,76.5,61.5,83.3,56.9
SEN,14,14.5,21.5,19,17.5,25,19,22,25,26,26.2
SRB,20.8,,,14.8,11.5,21,13.5,15.5,23,29,26.6
SYC,20.8,26.8,23.5,17,24.5,33,15.5,16,18,25,29.2
SLE,24.5,23.5,24.5,39.5,26,39.5,27.8,34,24.3,21,26.4
SGP,,47.3,57,50.7,51.5,56,49,45,47.5,61,43.4
SVK,,,0.5,0.8,2.5,1,3,11,11.5,0,13.3
SVN,4,3,2.3,1,3,6.5,7.3,9.5,13.4,9.1,20.5
SOM,,45,43.5,59,51.3,71.5,58,77.5,66,88.3,73.6
ZAF,7.5,3.3,5,6.5,11.3,13,8,8.5,12,12,24.6
SSD,,,,,,,,,,41.3,36.2
ESP,7.8,7.7,9,8.3,10,10.3,8,11,12.3,9.8,20.5
LKA,15.8,24.8,36.5,33.3,50.8,67.5,78,75,62.5,87.5,56.6
SDN,36,45.8,44.3,44,48.1,55.8,42,54,85.3,100.8,70.1
SUR,,,,,,,6,10.6,,,18.2
SWZ,29,37.5,31,35,40.5,54.5,50.5,52.5,57.5,67,46.8
SWE,1.5,1.5,2,2,4,1.5,3,0,0,-5.5,9.2
CHE,4.3,2.5,0.5,0.5,2.5,3,3,1,0,-6.2,9.9
SYR,62.8,67.5,67.5,55,63,66,59.6,78,91.5,138,78.5
TJK,28.3,34.5,27.8,33,30,37,25.5,32,34.5,13,35.7
TZA,21.3,16.5,14.5,17.5,19.8,18,15,15.5,13,6,27.3
THA,22.8,19.7,14,28,33.5,53.5,34.5,44,56.8,61.5,38.6
TLS,,,,,,,,,,,28.7
TGO,31.5,27.5,19.5,23.8,15,15.2,10,15.5,17,28.5,28.5
TON,,,38.2,14.5,13,38.3,18,,23.8,21,26.7
TTO,,1,2,2,5,5,6.1,7,8.5,15,23.1
TUN,67.8,50.8,62.7,57.5,53.8,57,48.1,61.5,72.5,60.3,39.9
TUR,33.5,35,37.3,25,25,31.3,22.8,38.3,49.3,70,46.6
TKM,91.5,82.8,99.8,93.5,98.5,103.8,95.5,107,95.3,140.7,79.1
UGA,17,25.8,24,19.3,29.8,28,26,21.5,25.5,64,31.7
UKR,40,40,51,32.5,26.5,26.8,19.3,22,46.8,54,36.8
ARE,,37,50.3,25.8,17.5,20.3,14.5,21.5,23.8,45,33.5
GBR,6,4.3,6,5.2,6.5,8.3,5.5,4,6,2,16.9
USA,4.8,6,4,9.5,13,14.5,8,4,,,18.2
URY,6,4,10,9.8,13.8,11.8,8.3,7.6,11.8,19,15.9
UZB,45,61.5,52.1,66.5,71,74.9,62.7,67.7,71.5,83,60.4
VEN,25,27.8,24.6,23,29,36.9,27.3,39.5,47.3,55,34.4
VNM,81.3,89.2,86.9,73.3,67.3,79.3,86.2,81.7,75.8,114,71.8
YEM,34.8,41.8,48,46.3,54,56.7,59,83.4,82.1,101,69.2
ZMB,26.8,23.3,29.8,23,22.5,21.5,15.5,26.8,22,30,27.9
ZWE,48.3,45.5,67.5,64.3,50,62,54,46.5,39.5,55,38.1
# Series: CIZCONJO,,,,,,,,,,,
# Name: World Press Freedom Index by Reporters Without Borders,,,,,,,,,,,
# Definition: The World Press Freedom Index spotlights the negative impact of conflicts on freedom of information and its protagonists. The ranking of some countries has also been affected by a tendency to interpret national security needs in an overly broad and abusive manner to the detriment of the right to inform and be informed.,,,,,,,,,,,
# Source: Reporters Without Borders,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,
